iter	Passed	Remaining
775	1138	328
776	1140	327
777	1141	325
778	1142	324
779	1143	322
780	1145	321
781	1146	319
782	1147	318
783	1148	316
784	1149	314
785	1151	313
786	1152	311
787	1154	310
788	1155	309
789	1156	307
790	1157	305
791	1158	304
792	1159	302
793	1161	301
794	1162	299
795	1163	298
796	1164	296
797	1165	295
798	1166	293
799	1169	292
800	1170	290
801	1171	289
802	1173	287
803	1174	286
804	1175	284
805	1177	283
806	1178	281
807	1179	280
808	1180	278
809	1181	277
810	1183	275
811	1184	274
812	1185	272
813	1186	271
814	1188	269
815	1189	268
816	1190	266
817	1191	265
818	1192	263
819	1193	262
820	1195	260
821	1196	259
822	1197	257
823	1199	256
824	1201	254
825	1202	253
826	1203	251
827	1205	250
828	1206	248
829	1207	247
830	1208	245
831	1209	244
832	1210	242
833	1211	241
834	1213	239
835	1214	238
836	1215	236
837	1216	235
838	1218	233
839	1219	232
840	1220	230
841	1222	229
842	1223	227
843	1224	226
844	1225	224
845	1226	223
846	1228	221
847	1230	220
848	1231	219
849	1232	217
850	1234	216
851	1235	214
852	1236	213
853	1237	211
854	1238	210
855	1239	208
856	1241	207
857	1242	205
858	1243	204
859	1244	202
860	1246	201
861	1247	199
862	1248	198
863	1249	196
864	1250	195
865	1251	193
866	1252	192
867	1253	190
868	1254	189
869	1255	187
870	1257	186
871	1258	184
872	1260	183
873	1261	181
874	1262	180
875	1264	178
876	1265	177
877	1266	175
878	1267	174
879	1268	172
880	1269	171
881	1271	170
882	1273	168
883	1274	167
884	1275	165
885	1276	164
886	1277	162
887	1278	161
888	1280	159
889	1281	158
890	1282	156
891	1283	155
892	1284	153
893	1285	152
894	1286	150
895	1289	149
896	1290	148
897	1292	146
898	1293	145
899	1294	143
900	1295	142
901	1297	140
902	1298	139
903	1299	138
904	1300	136
905	1302	135
906	1304	133
907	1305	132
908	1306	130
909	1307	129
910	1309	127
911	1310	126
912	1311	124
913	1312	123
914	1313	122
915	1314	120
916	1316	119
917	1318	117
918	1319	116
919	1320	114
920	1322	113
921	1324	112
922	1325	110
923	1326	109
924	1327	107
925	1328	106
926	1329	104
927	1330	103
928	1331	101
929	1333	100
930	1334	98
931	1335	97
932	1336	96
933	1337	94
934	1339	93
935	1340	91
936	1341	90
937	1342	88
938	1343	87
939	1344	85
940	1346	84
941	1348	83
942	1349	81
943	1350	80
944	1352	78
945	1353	77
946	1354	75
947	1355	74
948	1356	72
949	1357	71
950	1358	69
951	1359	68
952	1360	67
953	1362	65
954	1363	64
955	1364	62
956	1365	61
957	1366	59
958	1367	58
959	1369	57
960	1370	55
961	1371	54
962	1372	52
963	1373	51
964	1374	49
965	1375	48
966	1377	47
967	1378	45
968	1380	44
969	1381	42
970	1382	41
971	1384	39
972	1385	38
973	1386	37
974	1387	35
975	1388	34
976	1389	32
977	1390	31
978	1392	29
979	1393	28
980	1395	27
981	1396	25
982	1397	24
983	1398	22
984	1399	21
985	1400	19
986	1402	18
987	1403	17
988	1404	15
989	1405	14
990	1407	12
991	1408	11
992	1410	9
993	1411	8
994	1412	7
995	1414	5
996	1416	4
997	1418	2
998	1419	1
999	1420	0
